measure,baseline,exact_candidate,result,proof
Focused WorldRenderingTests,"48/48 at frozen baseline","52/52 in 27.987 s",PASS,validation/focused-world-rendering-tests.log
Full native suite,"219/219 in 104.836 s","223/223 in 105.980 s",PASS,validation/full-native-suite.log
Cold world update,"3.806 ms","3.724 ms focused; 3.821 ms full",PASS,validation/focused-world-rendering-tests.log
Cold total render,"5.643 ms","5.305 ms focused; 5.406 ms full",PASS,validation/focused-world-rendering-tests.log
Unchanged-pulse soak,"0.0007 ms average","0.0006 ms average over 4286 pulses",PASS,validation/full-native-suite.log
Repeated LOD residency,"41943040-byte high-water","41943040 bytes; 3 textures; 888 hits; 12 misses; 9 evictions; 0 fallback",PASS,validation/focused-world-rendering-tests.log
Pack pages,"4 maximum","4",PASS,validation/asset-pack-validation.json
City active-plus-adjacent,"12582912 bytes","12582912 bytes",PASS,validation/asset-pack-validation.json
Neighborhood/block active-plus-adjacent,"41943040 bytes","41943040 bytes",PASS,validation/asset-pack-validation.json
Regular observed RSS,"128016 KiB frozen route","251584 KiB initial; 228320 KiB persistence relaunch",PASS,identity/IDENTITY.md
Compact observed RSS,"153616 KiB frozen route","248160 KiB initial; 155296 KiB settled after interaction",PASS,identity/IDENTITY.md
Reduce Motion observed RSS,"197824 KiB frozen route","245952 KiB initial",PASS,identity/IDENTITY.md
Block-LOD observed RSS,"baseline proof not sampled","273136 KiB initial; 272000 KiB after 47 s",PASS,identity/IDENTITY.md
Two-build determinism,"required","manifest and four page bytes identical",PASS,validation/pack-build-a.log
Staged verification,"required","passed against exact quality identity",PASS,validation/staged-verify.log
