renderer,state,digest,route,lod,camera_scale,developed_width_share,developed_height_share,public_realm_width_share,public_realm_height_share,priority_width_share,priority_height_share,nodes,drawables,actions
before-e38059e,commercial-pressured-district-v2,7a3d2cfe7391dbb8e7d760b3e44f9f9852966416a463330247131bc08fac1a5b,regular,city,0.449550450,0.650000,1.436508,1.235000,1.419328,0.520000,0.798628,1712,777,0
before-e38059e,commercial-pressured-district-v2,7a3d2cfe7391dbb8e7d760b3e44f9f9852966416a463330247131bc08fac1a5b,regular,neighborhood,0.422359467,0.691846,1.528989,1.314508,1.510703,0.553477,0.850042,1731,791,0
before-e38059e,commercial-pressured-district-v2,7a3d2cfe7391dbb8e7d760b3e44f9f9852966416a463330247131bc08fac1a5b,regular,block,0.367977470,0.794092,1.754952,1.508774,1.733964,0.635273,0.975667,1731,791,0
before-e38059e,commercial-pressured-district-v2,7a3d2cfe7391dbb8e7d760b3e44f9f9852966416a463330247131bc08fac1a5b,compact,city,0.642512918,0.650000,2.383752,1.235000,2.355243,0.520000,1.325248,1682,747,0
before-e38059e,commercial-pressured-district-v2,7a3d2cfe7391dbb8e7d760b3e44f9f9852966416a463330247131bc08fac1a5b,compact,neighborhood,0.580237865,0.719762,2.639592,1.367549,2.608024,0.575810,1.467483,1701,761,0
before-e38059e,commercial-pressured-district-v2,7a3d2cfe7391dbb8e7d760b3e44f9f9852966416a463330247131bc08fac1a5b,compact,block,0.455687702,0.916490,3.361055,1.741332,3.320858,0.733192,1.868580,1701,761,0
before-e38059e,commercial-recovering-district-v2,bb93af0d43a88c7cce4e22265816f125bcffd6d2d55f0b0a5df7d72dc0a6301f,regular,city,0.449550450,0.650000,1.436508,1.235000,1.419328,0.520000,0.798628,1693,760,0
before-e38059e,commercial-recovering-district-v2,bb93af0d43a88c7cce4e22265816f125bcffd6d2d55f0b0a5df7d72dc0a6301f,regular,neighborhood,0.422359467,0.691846,1.528989,1.314508,1.510703,0.553477,0.850042,1712,774,0
before-e38059e,commercial-recovering-district-v2,bb93af0d43a88c7cce4e22265816f125bcffd6d2d55f0b0a5df7d72dc0a6301f,regular,block,0.367977470,0.794092,1.754952,1.508774,1.733964,0.635273,0.975667,1712,774,0
before-e38059e,commercial-recovering-district-v2,bb93af0d43a88c7cce4e22265816f125bcffd6d2d55f0b0a5df7d72dc0a6301f,compact,city,0.642512918,0.650000,2.383752,1.235000,2.355243,0.520000,1.325248,1663,730,0
before-e38059e,commercial-recovering-district-v2,bb93af0d43a88c7cce4e22265816f125bcffd6d2d55f0b0a5df7d72dc0a6301f,compact,neighborhood,0.580237865,0.719762,2.639592,1.367549,2.608024,0.575810,1.467483,1682,744,0
before-e38059e,commercial-recovering-district-v2,bb93af0d43a88c7cce4e22265816f125bcffd6d2d55f0b0a5df7d72dc0a6301f,compact,block,0.455687702,0.916490,3.361055,1.741332,3.320858,0.733192,1.868580,1682,744,0
before-e38059e,commercial-upgraded-district-v2,e685f45785a4a9df92881bf1f94597f002f568cfecd6efaf6bd7bd1df4ff18fd,regular,city,0.449550450,0.650000,1.436508,1.235000,1.419328,0.520000,0.798628,1683,753,0
before-e38059e,commercial-upgraded-district-v2,e685f45785a4a9df92881bf1f94597f002f568cfecd6efaf6bd7bd1df4ff18fd,regular,neighborhood,0.422359467,0.691846,1.528989,1.314508,1.510703,0.553477,0.850042,1702,767,0
before-e38059e,commercial-upgraded-district-v2,e685f45785a4a9df92881bf1f94597f002f568cfecd6efaf6bd7bd1df4ff18fd,regular,block,0.367977470,0.794092,1.754952,1.508774,1.733964,0.635273,0.975667,1702,767,0
before-e38059e,commercial-upgraded-district-v2,e685f45785a4a9df92881bf1f94597f002f568cfecd6efaf6bd7bd1df4ff18fd,compact,city,0.642512918,0.650000,2.383752,1.235000,2.355243,0.520000,1.325248,1653,723,0
before-e38059e,commercial-upgraded-district-v2,e685f45785a4a9df92881bf1f94597f002f568cfecd6efaf6bd7bd1df4ff18fd,compact,neighborhood,0.580237865,0.719762,2.639592,1.367549,2.608024,0.575810,1.467483,1672,737,0
before-e38059e,commercial-upgraded-district-v2,e685f45785a4a9df92881bf1f94597f002f568cfecd6efaf6bd7bd1df4ff18fd,compact,block,0.455687702,0.916490,3.361055,1.741332,3.320858,0.733192,1.868580,1672,737,0
before-e38059e,commercial-terminal-district-v2,2c703b45e171e2fb3334098c253503d11282975be0424760cad0005a6c1466c1,regular,city,0.449550450,0.650000,1.436508,1.235000,1.419328,0.520000,0.798628,1693,760,0
before-e38059e,commercial-terminal-district-v2,2c703b45e171e2fb3334098c253503d11282975be0424760cad0005a6c1466c1,regular,neighborhood,0.422359467,0.691846,1.528989,1.314508,1.510703,0.553477,0.850042,1712,774,0
before-e38059e,commercial-terminal-district-v2,2c703b45e171e2fb3334098c253503d11282975be0424760cad0005a6c1466c1,regular,block,0.367977470,0.794092,1.754952,1.508774,1.733964,0.635273,0.975667,1712,774,0
before-e38059e,commercial-terminal-district-v2,2c703b45e171e2fb3334098c253503d11282975be0424760cad0005a6c1466c1,compact,city,0.642512918,0.650000,2.383752,1.235000,2.355243,0.520000,1.325248,1663,730,0
before-e38059e,commercial-terminal-district-v2,2c703b45e171e2fb3334098c253503d11282975be0424760cad0005a6c1466c1,compact,neighborhood,0.580237865,0.719762,2.639592,1.367549,2.608024,0.575810,1.467483,1682,744,0
before-e38059e,commercial-terminal-district-v2,2c703b45e171e2fb3334098c253503d11282975be0424760cad0005a6c1466c1,compact,block,0.455687702,0.916490,3.361055,1.741332,3.320858,0.733192,1.868580,1682,744,0
before-e38059e,industrial-pressured-district-v2,aead13d649a772d05b3a81b185e3b5a71531a4ae6d9f223b7edf75fd4dd355f3,regular,city,0.449550450,0.650000,1.390615,1.235000,1.419328,0.520000,0.798628,1735,796,0
before-e38059e,industrial-pressured-district-v2,aead13d649a772d05b3a81b185e3b5a71531a4ae6d9f223b7edf75fd4dd355f3,regular,neighborhood,0.422359467,0.691846,1.480141,1.314508,1.510703,0.553477,0.850042,1754,810,0
before-e38059e,industrial-pressured-district-v2,aead13d649a772d05b3a81b185e3b5a71531a4ae6d9f223b7edf75fd4dd355f3,regular,block,0.367977470,0.794092,1.698885,1.508774,1.733964,0.635273,0.975667,1754,810,0
before-e38059e,industrial-pressured-district-v2,aead13d649a772d05b3a81b185e3b5a71531a4ae6d9f223b7edf75fd4dd355f3,compact,city,0.642512918,0.650000,2.307596,1.235000,2.355243,0.520000,1.325248,1705,766,0
before-e38059e,industrial-pressured-district-v2,aead13d649a772d05b3a81b185e3b5a71531a4ae6d9f223b7edf75fd4dd355f3,compact,neighborhood,0.580237865,0.719762,2.555263,1.367549,2.608024,0.575810,1.467483,1724,780,0
before-e38059e,industrial-pressured-district-v2,aead13d649a772d05b3a81b185e3b5a71531a4ae6d9f223b7edf75fd4dd355f3,compact,block,0.455687702,0.916490,3.253676,1.741332,3.320858,0.733192,1.868580,1724,780,0
before-e38059e,industrial-recovering-district-v2,c1ed4d01f0b2579950b5434833cfe3ec321fc4e6f3531e6c5511f860c1dcd138,regular,city,0.561938047,0.520000,1.112492,0.988000,1.135463,0.520000,1.112492,1798,810,0
before-e38059e,industrial-recovering-district-v2,c1ed4d01f0b2579950b5434833cfe3ec321fc4e6f3531e6c5511f860c1dcd138,regular,neighborhood,0.514312983,0.568152,1.215508,1.079488,1.240606,0.568152,1.215508,1817,824,0
