viewport,surface,action,pointer,keyboard,menu_or_guide,fka,ax,escape_or_focus,expected_target_or_result,candidate_result,evidence
regular,map,select coordinate,required,arrows,n/a,required,required,focus stable,one announced coordinate once,,
regular,map,primary action,required,Return,n/a,required,required,focus stable,one announced action once,,
regular,map,alternate activation,required,Space,n/a,required,required,focus stable,one announced action once,,
regular,command guide,open/search/activate,required,Command-/,required,required,required,topmost close,typed availability and disabled reason agree,,
regular,application menu,critical routes,required,shortcut,required,required,required,topmost close,same command and availability,,
regular,details,open/action/close,required,Shift-Return,required,required,required,restore map focus,target/cause/consequence/response agree,,
regular,focus city,enter/operate/exit,required,Shift-Command-F,required,required,required,restore target,identity urgency notices speed action retained,,
compact-900x600,map,select coordinate,required,arrows,n/a,required,required,focus stable,one announced coordinate once,,
compact-900x600,map,primary action,required,Return,n/a,required,required,focus stable,one announced action once,,
compact-900x600,command guide,open/search/activate,required,Command-/,required,required,required,topmost close,typed availability and disabled reason agree,,
compact-900x600,details,open/action/close,required,Shift-Return,required,required,required,restore map focus,target/cause/consequence/response agree,,
compact-900x600,focus city,enter/operate/exit,required,Shift-Command-F,required,required,required,restore target,identity urgency notices speed action retained,,
both,text input,shortcut quarantine,n/a,required,required,required,required,Escape clears text then closes,no gameplay leakage,,
both,reduce motion,all critical actions,required,required,required,required,required,stable restoration,no information or state loss,,
