route,baseline_status,final_candidate_check,pass_condition,automatic_reject
Regular closed,executed,Pointer and keyboard focus City map then inspect an announced Residential target,Same target and action with stable world-first hierarchy,target contradiction or unreadable HUD
Compact closed,executed,Repeat map focus selection and command routes at exact 900x600,Map aperture >=58 percent and all critical controls reachable,hidden control or pointer-only route
Regular Overview,executed,Open and scroll through identity health objective and operating position,All sections visibly readable and AX-equivalent,AX-visible but visually collapsed content
Regular Journal,executed,Open and scroll notices plus Related Data Act and Dismiss,Two summaries visible and all controls reachable,clipped or unreachable notice action
Compact Overview,executed_baseline_failure,Open Details then Overview by pointer keyboard FKA and AX,One complete actionable section visible with obvious scroll,header-only or clipped cards
Compact Journal,executed_baseline_failure,Choose Journal by pointer keyboard FKA and AX,Two complete notice summaries visible with obvious scroll,AX-only journal content
Residential matrix,partial_baseline_system_reproduction,Traverse 16 L1-L4 N-E-S-W identities at three LODs,Exact level frontage resource and road agreement for all 16,mirror rotation alias fallback or wrong road
Selection and rejection,pending_candidate,Valid invalid occupied road-required and unaffordable targets,Preview AX click Return Space and feedback agree,coordinate availability or reason disagreement
Construction and undo,pending_candidate,Commit once inspect stages then undo,One mutation and exact restored fingerprint,false construction or undo drift
Focus and Escape,pending_candidate,Repeat Details Overview Journal Objectives modal and command guide three times,Stable generation and topmost-first restoration,focus loss leakage or wrong Escape order
Full Keyboard Access,pending_candidate,Reach and activate map target HUD Details and notice actions,Visible focus and pointer-equivalent result,unreachable or invisible focus
AX activation,pending_candidate,Activate one announced target and HUD/notice actions,Exactly one matching mutation/action,duplicate or different action
Reduce Motion,pending_candidate,Repeat state and interaction routes with Reduce Motion,No information or authoritative-state loss,meaning or state changes
