surface,input,exact_result,evidence
Regular map,Pointer,"selected Commercial block 14,12; AX and visual highlight agreed",live/regular/details-commercial-l1.ax.txt
Regular map,Keyboard Right,"City Hall 12,12 then Commercial 14,12; target and condition announced",live/regular/details-commercial-l1.ax.txt
Details,Return,"opened Commercial L1 block 14,12 with identity, workplaces, road, condition, cause and response",live/regular/details-commercial-l1.ax.txt
Invalid occupied build,Return,"reason stayed exact; Commercial tool and block 14,12 stayed selected",live/regular/invalid-commercial-occupied.ax.txt
Valid build,Return,"Commercial construction committed once at block 17,14",live/regular/commercial-construction-placed.ax.txt
Undo,Command-Z,"treasury returned to $30,848; block returned to open land; quicksave later remained byte-identical",live/regular/commercial-placement-undone.jpg
Focus City,Command-Shift-F,"Commercial 14,12 survived exit and re-entry with paused state, treasury and urgency",live/regular/focus-city-preserved-commercial-l1.ax.txt
All five overlays,Layer menu,"Land Value, Traffic, Utilities, Happiness and Pollution each retained target and named active layer",live/regular/overlay-pollution.jpg
Compact Details,Return,"Commercial L1 identity and response remained visible and scroll-reachable; Escape restored map focus",live/compact/details-commercial-l1.ax.txt
Command guide,Command-/,"search commercial returned Build Commercial, shortcut C, available",live/compact/command-search-commercial.ax.txt
Full Keyboard Access,Tab/Shift-Tab/Space,"stable HUD traversal reached Build mode and Space selected it",live/compact/city-900x600-clean.ax.txt
AX custom action,Build Commercial at block 17 14,"announced available coordinate built exactly once",live/compact/ax-commercial-placement.ax.txt
Reduce Motion,Keyboard selection,"Commercial 14,12 identity, condition and consequence meaning unchanged",live/reduce-motion/compact-commercial-l1.ax.txt
Persistence,Save/terminate/relaunch/load,"same fixture bytes loaded Day 33 paused; no construction remained after exact undo",live/regular/save-relaunch-load-paused.ax.txt
