check,mode,result,evidence
Critical and support typography,regular_and_compact,PASS 11 pt critical and 10 pt support plus visible inspection,DISPOSITION.md and live frames
Closed map aperture,compact,PASS 361/600 = 60.2 percent,live/compact/compact-closed-900x600.png
Overview map aperture,compact,PASS 271/600 = 45.2 percent,live/compact/compact-overview-900x600.png
Journal map aperture,compact,PASS 271/600 = 45.2 percent,live/compact/compact-journal-900x600.png
Overview visible content,compact,PASS complete Operating Position Open Journal and Current Objective,live/compact/compact-overview-900x600.png
Journal visible content,compact,PASS two complete notice summaries and actions,live/compact/compact-journal-900x600.png
Pointer selection,compact,PASS City Hall 12 12 visual and AX target agree,live/compact/compact-pointer-selection.ax.txt
Occupied Return rejection,compact,PASS exact reason target and tool persist beyond 5 seconds,live/compact/compact-occupied-rejection.png and compact-occupied-rejection-5s.ax.txt
Valid Return build and undo,compact,PASS one build then exact treasury and placement restoration,live/compact/compact-valid-build.ax.txt and compact-undo.ax.txt
AX action,compact,PASS opens announced City Hall 12 12 once,live/compact/compact-ax-activation.ax.txt
FKA,compact,PASS focus moves map to HUD and activates Overview,live/compact/compact-fka-activation.ax.txt
Command search,regular_and_compact,PASS Tax Policy available,live/regular/regular-tax-search.png and live/compact/compact-tax-search.png
Modal text quarantine,compact,PASS 3 Right and Space remain in guide search while paused,live/compact/compact-tax-search.ax.txt
Escape precedence,regular_and_compact,PASS closes topmost surface and restores map focus,paired AX captures
Three LODs,regular,PASS city neighborhood and block useful,live/regular/regular-city-lod.png and regular-block-lod.png
Reduce Motion,compact,PASS L4 target overlay legend and consequence meaning preserved,live/reduce-motion
Grayscale hierarchy,regular_and_compact,PASS critical hierarchy remains legible,live regular and compact grayscale frames
