surface,mode,baseline_measurement,evidence_or_source,final_candidate_requirement
Metric title,dense,7 pt,MetricCard.swift:39-44,critical metric label >=11 pt
Metric detail,dense,7 pt,MetricCard.swift:51-56,decision-supporting secondary text >=10 pt
Metric title,regular,8 pt,MetricCard.swift:84-87,critical metric label >=11 pt
Metric detail,regular,9 pt,MetricCard.swift:97-101,decision-supporting secondary text >=10 pt
Objective count,regular_and_compact,8 pt,TopHUDView.swift:104-112,critical objective text >=11 pt
Priority eyebrow,regular_and_compact,7 pt,StrategyCommandCenterView.swift:277-285,priority state >=11 pt
Priority status,regular_and_compact,7 pt,StrategyCommandCenterView.swift:283-289,priority state >=11 pt
Priority summary,regular_and_compact,9 pt,StrategyCommandCenterView.swift:296-300,decision support >=10 pt
Direct response,regular_and_compact,9 pt,StrategyCommandCenterView.swift:331-337,action text >=11 pt
Compact details visible height,open,66 pt,BuildToolbarView.swift:11 and 47-50,one complete actionable section plus two complete notice summaries
Compact closed aperture,900x600 content,349/600 = 58.17 percent centerline between visible HUD/deck masks,baseline-city-paused-900x600.png,>=58 percent
Compact open aperture,900x600 content,311/600 = 51.83 percent centerline between visible HUD/deck masks,baseline-overview-open-900x600.png,>=45 percent
Regular closed raw aperture,1278x768 capture,454 px centerline between visible HUD/deck masks,baseline-city-paused.png,materially preferred with identical mask method
Regular open raw aperture,1278x768 capture,388 px centerline between visible HUD/deck masks,baseline-overview-open.png,materially preferred with identical mask method
